Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
122,854895,1/29/2010,Congressman Jim Costa,re status of an CDJ-I-130,,,,,,,,,,,
123,852562,1/7/2010,Congressman Joe Courtney,(b)(6)    humanitarian parole request.,,,,,,,,,,,
124,852810,1/9/2010,Congressman Joe Courtney,(b)(6)    is requesting to know if there is any available avenue which is he can use for obtaining legal permanent residency. His previous 1-485 was denied.,,,,,,,,,,,
125,852798,1/9/2010,Senator Michael D. Crapo,is requesting that her husband 0:’K6-} not be deported until a court hearing is set.,,,,,,,,,,,
126,854581,1/28/2010,Senator Michael D. Crapo,A status request for (b)(6),,,,,,,,,,,
127,854585,1/28/2010,Senator Michael D. Crapo,Customer would like to expedite the processing of his wife's case.,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,853740,1/19/2010,Congressman Joseph Crowley,regarding the status of l-730's petitions.,,,,,,,,,,,
130,853871,1/20/2010,Congressman Joseph Crowley,(b>(6)    filed 1-730 for her family,,,,,,,,,,,
131,854307,1/25/2010,Congressman Henry Cuellar,(b}(6)    filed 1-601 for her husband. W® (b)(0)    1,,,,,,,,,,,
132,852612,1/7/2009,Congressman Elijah E. Cummings,"Writes on behalf of constituent (b-,6>    regarding a TRIP concern.",,,,,,,,,,,
133,852709,1/8/2010,Congressman Elijah E. Cummings,Status of I-290B.,,,,,,,,,,,
134,852707,1/8/2010,Congressman Kathy Dahlkemper,I-600A adoption case,,,,,,,,,,,
135,853524,1/15/2010,Congressman Kathy Dahlkemper,Re; (b>(6>    'N-4001.,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,853857,1/20/2010,Congressman Artur Davis,Requests DHS funding for the Jefferson County Emergency Preparedness and Response Pilot Project (Alabama). This Folder 106156 inquiry is with the Grant Preparedness Directorate of FEMA for handling.,,,,,,,,,,,
138,853968,1/21/2010,Congressman Lincoln Davis,Re status of an I290-B/1-I-140,,,,,,,,,,,
139,854915,1/29/2010,Congressman Lincoln Davis,Customer is requesting the staus of her husband's Form 1-601 Petition.,,,,,,,,,,,
140,852789,1/8/2010,Congressman Susan A. Davis,Regarding the status of 1-130 she submitted for pxej,,,,,,,,,,,
141,854061,1/22/2010,Congressman Susan A. Davis,Request the deployment of California's three Mobile Field Hospitals to Haiti.,,,,,,,,,,,
142,852313,1/5/2010,Congressman Nathan Deal,Writes on behalf of constituent (b!(6}    regarding her clearance with the Department of Homeland Security.,,,,,,,,,,,
143,853710,1/19/2010,Congressman Peter A. DeFazio,"Rep. Peter A. DeFazio writes on behalf of his constituent,(b)(6i (b)(6> .egar( ing the Detroit incident and ABC news coverage.",,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,853684,1/19/2010,Congressman Jim DeMint,Regarding an up date on a 1-601 for    1,,,,,,,,,,,
146,853956,1/21/2010,Congressman Charles W. Dent,Re    (N-400),,,,,,,,,,,
147,854832,1/29/2010,Congressman Charles W. Dent,Customer is requesting assistance with obtaining a replacement 1-94 Document.,,,,,,,,,,,
148,853746,1/19/2010,Congressman Lincoln Diaz-Balart,Writes on behalf of constituent {b)(6)    regarding his TRIP.,,,,,,,,,,,
149,854876,1/29/2010,Congressman Momodou Dibba,Expedited,,,,,,,,,,,
150,852043,1/4/2010,Congressman Norman Dicks,(b)(6)    is requesting status of 1-601 appeal (I- 129B) for(bK6),,,,,,,,,,,
151,853545,1/15/2010,Congressman David Dreier,ReaI-601_CDJ,,,,,,,,,,,
152,854203,2/12/2009,Congressman Elaine C. Duke,DHS Responsiveness to the Government Accountability Office (GAO) 2009 4th Quarter Report to Congress,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,853734,1/19/2010,Congressman John J. Duncan,"Writes on behalf of his consitutent, (b>(6) to request assistance with proving a waiver for her husband, Juan <b!(6'    to enter the U.S. based on hardship.",,,,,,,,,,,
