DeptID,EOP,ExecDepartment,Independent,SubBureau,AgencyID,Agency,DateofCreation,Statute,Sub-agency bureaus,Employees,Commission,Commissioners/Board Members,QuorumRules,QuorumNumber,PAS,NA,SchC,PA,XS,Agency-specific personnel,Citizen of US,Civilian,Geographic,Demographic,Expertise,Conflict of Interest ,Congressional Input,Party Balancing,Fixed Terms,Term Length,Staggered Terms,For Cause,Double for Cause,Bureau Fixed Term,ServePresident,Continuation Replacement,Acting Service Rules,PAS Head,President Selects Chair,Elected Head,Outside Head,Chair Removal,No OMB Budget Review,No OMB Rule Review,No OMB Communication Review,Independent Litigating,Independent Funding,Committeesconfirmingapps,Reporting Requirements,Number of Committees,Reporting Committees,CIO,IG,CFO,Sunshine,Review Commissions,Advisory Commissions,Establish Advisory Commissions,Outside Approval,Legislative Veto,Rulemaking,Economically Significant Rule,Hearing-based Rulemaking,Adjudication,Adjudication(APA),ALJs (Association),ALJs (Breyer)
20000,0,0,1,0,21700,Federal Agricultural Mortgage Corporation,1/6/1988,12 U.S.C. 2279aa-1-2279aa-14,0,,0,15,1,8,,,,,,2,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,"3, 6, 7, 9","Agriculture, Nutrition, and Forestry",0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
20000,0,0,1,0,21800,Federal Communications Commission,6/19/1934,47 U.S.C. 151-621,4,1784,0,5,1,3,5,5,3,0,5,1,1,0,0,0,0,1,0,1,1,5,1,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0,"Commerce, Science, and Transportation",17,4,"S. Appropriations; S. Commerce, Science, and Transportation; H. Appropriations; H. Energy and Commerce",0,2,0,1,0,0,0,0,0,1,,0,1,1,1,1
20000,0,0,1,0,21900,Federal Deposit Insurance Corporation,6/16/1933,12 U.S.C. 1811-1835a,1,8358,0,5,0,,4,0,2,0,0,3,1,0,0,0,1,1,0,1,1,6,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,"4, 5, 6, 7, 9","Banking, Housing, and Urban Affairs; Homeland Security and Governmental Affairs (IG sequentially referred)",7,2,"S. Banking, Housing, and Urban Affairs; H. Financial Services",0,3,0,1,0,0,0,0,0,1,,0,1,1,0,0
20000,0,0,1,0,22000,Federal Election Commission,10/15/1974,2 U.S.C. 431-457,0,349,0,6,1,4,6,0,0,0,14,0,0,0,0,0,1,1,0,1,1,6,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,,0,0,,0,2,0,1,0,0,0,0,0,1,,0,1,0,0,0
5000,0,1,0,1,5100,Federal Energy Regulatory Commission,8/4/1977,42 U.S.C. 7171-7178,0,1488,1,5,1,3,5,0,4,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,7,Energy and Natural Resources,0,0,,0,0,0,1,0,0,0,0,0,1,,0,1,0,1,1
20000,0,0,1,0,22100,Federal Hospital Insurance Trust Fund Board ,8/14/1935,42 U.S.C. 1395i-1395i-1,1,,0,6,0,,,,,,,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"1, 9",Finance,2,0,,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,22200,Federal Housing Finance Agency,7/30/2008,12 U.S.C. 4511-4526,2,618,0,.,.,,4,0,4,1,0,2,1,0,0,0,1,1,0,.,1,5,.,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,"4, 7","Banking, Housing, and Urban Affairs",3,2,"S. Banking, Housing, and Urban Affairs; H. Financial Services",0,3,0,0,0,1,0,0,0,1,,0,1,0,0,0
20000,0,0,1,0,22300,Federal Labor Relations Authority,10/13/1978,5 U.S.C. 7104-7105,0,140,1,3,0,,4,0,2,8,1,0,0,0,0,0,0,0,0,1,1,5,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,Homeland Security and Governmental Affairs,1,0,,0,2,0,1,0,0,0,0,0,1,,0,1,0,1,1
20000,0,0,1,0,22400,Federal Maritime Commission,8/12/1961,46 U.S.C. 301-307,0,127,1,5,1,3,5,0,2,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,"Commerce, Science, and Transportation",1,0,,0,2,0,1,0,0,0,0,0,1,,0,1,0,1,1
20000,0,0,1,0,22500,Federal Mediation and Conciliation Service,6/23/1947,29 U.S.C. 172,0,244,0,.,.,,1,0,0,0,0,1,0,0,0,0,0,0,0,.,0,,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Health, Education, Labor, and Pensions",1,0,,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,22600,Federal Mine Safety and Health Review Commission,11/9/1977,30 U.S.C. 823-823a,0,72,1,5,1,3,5,0,2,0,0,0,0,0,0,0,1,0,0,0,1,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"Health, Education, Labor, and Pensions",0,0,,0,1,0,1,0,0,0,0,0,1,,0,1,1,1,1
20000,0,0,1,0,22700,Federal Reserve Board,8/23/1935,12 U.S.C. 241-262,0,2448,1,7,1,5,7,0,0,0,0,1,0,0,1,0,1,0,0,0,1,14,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,"6, 7","Banking, Housing, and Urban Affairs",4,2,"S. Banking, Housing, and Urban Affairs; H. Financial Services",0,2,0,1,0,1,0,0,0,1,,0,1,0,0,0
20000,0,0,1,0,22800,Federal Retirement Thrift Investment Board,6/6/1986,5 U.S.C. 8471-8480,0,99,0,5,1,3,5,0,0,0,1,1,0,0,0,0,1,0,1,0,1,4,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,Homeland Security and Governmental Affairs,0,0,,0,1,0,1,0,1,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,22900,Federal Supplementary Medication Insurance Trust Fund Board,8/14/1935,42 U.S.C. 1395t,0,,0,6,0,,,,,,,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,9,Finance,2,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
20000,0,0,1,0,23000,Federal Trade Commission,9/26/1914,15 U.S.C. 41-58,0,1135,1,5,0,,5,4,3,0,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,2,"Commerce, Science, and Transportation",4,2,"S. Commerce, Science, and Transportation; H. Energy and Commerce",0,2,0,1,0,0,0,0,0,1,,0,1,0,1,1
9000,0,1,0,1,9100,Foreign Claims Settlement Commission of the United States,7/1/1954,22 U.S.C. 1621-1645o,0,,1,3,0,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Judiciary,1,0,,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0
20000,0,0,1,0,23100,General Services Administration,6/30/1949,40 U.S.C. 301-323,2,12739,0,.,.,,2,17,28,0,0,0,0,0,0,0,0,0,0,.,0,,.,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,"2, 5",Homeland Security and Governmental Affairs,0,0,,1,3,1,0,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,23200,Harry S Truman Scholarship Foundation,1/4/1975,20 U.S.C. 2001-2013,0,5,0,13,1,9,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1, 4","Health, Education, Labor, and Pensions",1,0,,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,23300,Institute for Museum and Library Services,9/30/1996,20 U.S.C. 9102-9111,2,90,0,.,.,,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4,.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Health, Education, Labor, and Pensions",0,0,,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,23400,Institute of American Indian Arts,10/17/1986,20 U.S.C. 4401-4426,6,,1,13,1,7,7,,,,,2,0,0,0,1,1,0,0,0,1,6,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,"1, 9",Indian Affairs,2,0,,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0
20000,0,0,1,0,23500,Inter-American Foundation,12/30/1969,22 U.S.C. 290f,1,43,0,9,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"1, 3",Foreign Relations,0,0,,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0
