IDs,company_short,company_short_refs,n
20020617-0403; 20011019-0104; 20020520-1521; 20011011-0254; 20011004-0504; 20011004-0498; 20010709-0431; 20010709-0430; 20010709-0410,Patriot Extension,Patriot Extension Project; Patriot Extension; Patriot Extension Pipeline,9
20081113-0081; 20081107-0109; 20080806-0193; 20080702-0285; 20080702-0280; 20080702-0278; 20080702-0277; 20080613-0038,Bradwood Landing liquefied natural gas terminal,Bradwood Landing liquefied natural gas terminal,9
20180523-0014; 20180515-4002; 20180223-0008,Spire STL,Spire STL Pipeline; Spire STL Pipeline Project,8
20161018-0008; 20011019-0492; 20000301-0117; 20090219-0244(partial),PacifiCorp,PacifiCorp,8
20100525-0024; 20040507-0108; 20090526-0032; 20090508-0035; 20090506-0163; 20090108-0122,Alcoa Powerrating,"Alcoa Power Generating; Alcoa Power Generating,Inc.; Alcoa Power Generating,",8
20040702-0083; 20040701-0067; 20040625-0012,N/A,N/A,8
20011019-0138; 20011002-0661; 20010917-0265; 20060810-0081(partial); 20060613-0027(partial); 20060613-0025; 20060613-0024,Maritimes and Northeast,"Maritimes and Northeast Pipeline, L.L.C./Algonquin Gas Transmission; Maritimes and Northeast Pipeline, L.L.C.; Maritimes and Northeast Pipeline,; Maritimes and Northeast Pipeline",8
20010329-0003; 20010111-0319,Bangor Hydro-Electric,Bangor Hydro-Electric,8
20010329-0003; 20010111-0319,Industrial,Industrial,8
20000828-0077; 20031205-0074; 20040322-0269; 20000828-0070; 20080327-0152; 20040211-0390; 20011221-0261; 20011004-0483,Natural,Natural Gas; Natural Gas Pipeline Project; Natural Gas Pipeline,8
20180928-0017; 20011005-0030,NEPOOL,NEPOOL,8
20170525-0008(partial); 20160928-0010; 20150930-0014; 20021219-0195; 20020815-0654; 20001229-0054,Transco,Transco; Transco Gas Pipeline Corp.; Transco Pipeline; Transco Pipeline Arrangement; Transco Pipe Expansion Project,8
20180511-0006; 20151020-0010,Venture Global Calcasieu Pass,Venture Global Calcasieu Pass; Venture Global Calcasieu Pass Project,8
20140424-0009,Catawba-Wateree Hydroelectric,Catawba-Wateree Hydroelectric Project,8
20121119-0001,Astoriaratingnany,"Astoria Generating Comnany, L.P.",8
20121119-0001,TC Ravenswood.,TC Ravenswood.,8
20110927-0125; 20110719-0004; 20040202-0157; 20040116-0240; 20040115-0081,Wells Hydroelectric,Wells Hydroelectric Project; Wells Hydroelectric Projects,8
20080911-0064; 20080422-0001; 20071016-0043,Carmen-Smith Hydroelectric,Carmen-Smith Hydroelectric Project No.2242; Carmen-Smith Hydroelectric Project,8
20011019-0270,Northeast Regional Transmission Organization,Northeast Regional Transmission Organization,8
20121119-0001,Astoriaratingnanv and TC Ravenswood.,Astoria Generating Comnanv L.P. and TC Ravenswood.,8
20090908-0068; 20090812-0016; 20090527-0015; 20090508-0077; 20081222-0201; 20081113-0083; 20081001-0013; 20081001-0012,Ohio Storage Expansion,Ohio Storage Expansion Project; Ohio Storage Expansion Project docket number CP08-431-000,8
20171031-0017; 20020503-0302; 20060714-0050; 20010820-0101,Colonial,Colonial Pipeline; Colonial Pipeline System's pipeline expantion,7
20150625-0019; 20030313-0211; 20160105-0023; 20110119-0081; 20071128-0175; 20030313-0210; 20171020-0020,Algonquin Gas Transmission,"Algonquin Gas Transmission; Algonquin Gas Transmission,; Algonquin Gas Transmission Pipeline.",7
20100318-0017; 20100830-0012(partial); 20100830-0010(partial); 20100830-0008(partial); 20090928-0073,Ruby,Ruby Pipeline; Ruby Pipeline Project,7
20061006-0193; 20061006-0191; 20060714-0049; 20060628-0147; 20060622-0084; 20060621-0127; 20061030-0133,Straight Creek Gathering,"Straight Creek Gathering, LP; Straight Creek Gathering LP; Straight Creek Gathering Project",7
20041018-0032; 20020117-0167; 20020117-0166; 20020102-0092,Army,Army Corps of Engineer; Army Corps of Engineers,7
20040728-0271; 20040525-0113; 20040511-0052; 20040511-0051,Oklahoma Gas and Electric,Oklahoma Gas and Electric,7
20000918-0279; 20000811-0276; 20121012-0033; 20000918-0272; 20000718-0775; 20000718-0774; 20020521-0105,Millennium,Millennium Pipeline; Millennium Pipeline Project; Millennium Pipeline project,7
20040702-0082; 20040630-0105; 20040625-0048,ENRON,ENRON,7
20180511-0006,TransCameron pipeline project,TransCameron pipeline project,7
20170802-0032; 20170712-0125; 20170712-0119; 20170707-0013,Jordane project,Jordan Cove project,7
