first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
NA,NA,NA,524,DOJ_CIV,2020-01-17,BOB CORKER,,CRIMINAL COMPLAINT AGAINST NISSAN,NA,NA,NA
James,CLYBURN,NA,765,DOJ_CIV,2020-01-17,JAMES E. CLYBURN,"CLYBURN, James Enos",JUDGMENT AGAINT TUOMEY HEALTH SYSTEM,NA,NA,NA
NA,NA,NA,766,DOJ_CIV,2020-01-17,BARBARA MIKULSKI,,OPERATION CHOKE POINT,NA,NA,NA
NA,NA,NA,1062,DOJ_CIV,2020-01-17,T M HOLDEN,,FEDERAL TORT CLAIMS ACT,1,NA,NA
NA,NA,NA,1065,DOJ_CIV,2020-01-17,THAD COCHRAN,,BLACK FARMERS LITIGATION,NA,NA,NA
NA,NA,NA,218,DOJ_CIV,2020-01-18,PETE HOEKSTRA,,REQ COPIES FISA COURT ORDERS/TERRORIST,5,NA,NA
NA,NA,NA,219,DOJ_CIV,2020-01-18,SILVESTRE REYES,,REQ COPIES FISA COURT ORDERS/TERRORIST,5,NA,NA
NA,NA,NA,220,DOJ_CIV,2020-01-18,HARRY REID,,RADIATION COMPENSATION,1,NA,NA
Christopher,SMITH,NA,520,DOJ_CIV,2020-01-18,CHRIS SMITH,"SMITH, Christopher Henry",RECA,NA,NA,NA
Kirsten,GILLIBRAND,NA,631,DOJ_CIV,2020-01-18,KRISTEN GILLIBRAND/12 OTHERS,"GILLIBRAND, Kirsten",ORDERS OF REMOVAL,NA,NA,NA
NA,NA,NA,1053,DOJ_CIV,2020-01-18,CHARLES W. BOUSTANY,,WANTS INVESTIGATION OF VA,NA,NA,NA
NA,NA,NA,245,DOJ_CIV,2020-01-19,HEATHER WILSON,,SEN JUD CMTE ON TERRORIST SURVEILLANCE,NA,NA,NA
NA,NA,NA,248,DOJ_CIV,2020-01-19,"JOHN CONYERS, JR",,REQ BRIEFING ON DOMESTIC WIRETAPPING PRO,5,NA,NA
Kirsten,GILLIBRAND,NA,966,DOJ_CIV,2020-01-19,KRISTEN E. GILLIBRAND,"GILLIBRAND, Kirsten",WRITING TO REMAIN ENGAGED WITH DOJ S IMPLEMENTATION OF THE JAMES ZADROGA 9/11 HEALTH AND COMPENSATION REAUTHORIZATION ACT EXSPECIALLY UNDER THE 9/11 VICTIM COMPENSATION FUND (VCF).,NA,NA,NA
NA,NA,NA,967,DOJ_CIV,2020-01-19,JEB HENSARLING,,LTR FROM CHMN HENSARLING FINANCIAL SERVICES COMTE PROVIDING THE AG W TH A COPY OF A FINANCIAL SERVICE COMTE MAJORITY STAFF REPORT RELEASED ON 1/20/2016 ENTITLED UNSAFE AT ANY BUREAUCRACY PART II.,1,NA,NA
NA,NA,NA,523,DOJ_CIV,2020-01-20,T MOTHY BISHOP,,TERRORIST VICTIMS COMPENSATION,NA,NA,NA
Bruce,WESTERMAN,NA,965,DOJ_CIV,2020-01-20,BRUCE WESTERMAN,"WESTERMAN, Bruce Eugene",EXPRESSING CONCERNS REGARDING THE POTENTIAL FEDERAL LIABILITY IN A CIVL MATTER IN ARKANSAS (DELTIC TIMBER),NA,NA,NA
NA,NA,NA,1047,DOJ_CIV,2020-01-20,MARY L. LANDRIEU,,COUNTRYWIDE/BOA DISCRIM CASE,NA,NA,NA
NA,NA,NA,839,DOJ_CIV,2020-01-21,BOB GOODLATTE,,INVITE AG TO TESTIFY @ HOUSE JUD CMTE HEARING RE CIV ASSET FORF ETURE,5,NA,NA
NA,NA,NA,217,DOJ_CIV,2020-01-22,BOB GOODLATTE,,PROSECUTION OF BORDER PATROL AGENTS,5,NA,NA
NA,NA,NA,242,DOJ_CIV,2020-01-22,"THELMA, D DRAKE",,NAVAL AIR STATION OCEANA/PROPERTY VALUES,5,NA,NA
NA,NA,NA,244,DOJ_CIV,2020-01-22,JOHN MCCAIN,,REQUEST FOR STATUS ON EEOICP CLAIM,1,NA,NA
Marcia,FUDGE,NA,343,DOJ_CIV,2020-01-22,MARCIA FUDGE,"FUDGE, Marcia L.",CONSENT AGREEMENT W TH TOBACCO-FREE KIDS ACTION FUND,4,NA,NA
Peter,VISCLOSKY,NA,640,DOJ_CIV,2020-01-22,PETER J. VISCLOSKY,"VISCLOSKY, Peter",APPROVAL OF SETTLEMENT,NA,NA,NA
John,CORNYN,NA,770,DOJ_CIV,2020-01-22,JOHN CORNYN,"CORNYN, John",RECA,NA,NA,NA
NA,NA,NA,771,DOJ_CIV,2020-01-22,MIKE POMPEO,,RECA,NA,NA,NA
