agency,bioname,DATE,SUBJECT,TYPE,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,n
DOL_MSHA,"HATCH, Orrin Grant",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"ISAKSON, Johnny",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,5,2,disaster; information,NA,NA,NA,2
DOL_MSHA,"ISAKSON, Johnny",2007-08-27,Request Apprised of Schedule of Review on Crandall Canyon Mine Tragedy,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"HARKIN, Thomas Richard (Tom)",2007-08-29,"Hearing on ""Utah Mine disaster & Preventing Future Tragedies""",5,NA,hearing,NA,NA,NA,2
DOL_MSHA,"HARKIN, Thomas Richard (Tom)",2007-08-29,"Hearing on ""Utah Mine disaster & Preventing Future Tragedies""",NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"SPECTER, Arlen",2007-08-29,"Hearing on ""Utah Mine disaster & Preventing Future Tragedies""",5,NA,hearing,NA,NA,NA,2
DOL_MSHA,"SPECTER, Arlen",2007-08-29,"Hearing on ""Utah Mine disaster & Preventing Future Tragedies""",NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-09-13,Request Documents & Information Concerning Crandall Canyon,5,NA,disaster; information,Crandall Canyon Mine,NA,NA,2
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-09-13,Request Documents & Information Concerning Crandall Canyon,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MURRAY, Patty",2007-09-13,Request Documents & Information Concerning Crandall Canyon,5,NA,disaster; information,Crandall Canyon Mine,NA,NA,2
DOL_MSHA,"MURRAY, Patty",2007-09-13,Request Documents & Information Concerning Crandall Canyon,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"BYRD, Robert Carlyle",2007-09-14,"DOL Hiring ""Contract Employees"" to Replace Vacant Positions of MSHA Employees",1,NA,NA,NA,NA,might be related to A-76 initiative,3
DOL_MSHA,"BYRD, Robert Carlyle",2007-09-14,"DOL Hiring ""Contract Employees"" to Replace Vacant Positions of MSHA Employees",1,NA,NA,NA,NA,NA,3
DOL_MSHA,"BYRD, Robert Carlyle",2007-09-14,"DOL Hiring ""Contract Employees"" to Replace Vacant Positions of MSHA Employees",NA,NA,NA,NA,NA,NA,3
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-09-19,MSHA Employer Claims He was Humiliated & Unprofessional Removed from his Job,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-09-19,MSHA Employer Claims He was Humiliated & Unprofessional Removed from his Job,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-09-20,Death in Mountaineer IIWV Mine Which MSHA Failed to Properly Inspect/Why?,2,5,enforcement; disaster,NA,NA,unsure if advocating for mine,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-09-20,Death in Mountaineer II WV Mine Which MSHA Failed to Properly Inspect/Why?,2,5,enforcement; disaster,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-09-20,Death in Mountaineer IIWV Mine Which MSHA Failed to Properly Inspect/Why?,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"RAHALL, Nick Joe, II",2007-09-20,Death in Mountaineer II WV Mine Which MSHA Failed to Properly Inspect/Why?,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"WEBB, James H. (Jim)",2007-09-21,"Underground Miner Tracking, IRT Crandall Canyon Mine",1,5,NA,NA,NA,ambiguous why (b)(6) - developed product?,3
DOL_MSHA,"WEBB, James H. (Jim)",2007-09-21,"Underground Miner Tracking, IRT Crandall Canyon Mine",1,5,NA,NA,NA,NA,3
DOL_MSHA,"WEBB, James H. (Jim)",2007-09-21,"Underground Miner Tracking, IRT Crandall Canyon Mine",NA,NA,NA,NA,NA,NA,3
DOL_MSHA,"CHAMBLISS, Saxby",2007-09-26,Safety Systems to Track Trapped Miners in an Event of an Explosion,1,4,NA,NA,NA,NA,2
DOL_MSHA,"CHAMBLISS, Saxby",2007-09-26,Safety Systems to Track Trapped Miners in an Event of an Explosion,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"PELOSI, Nancy",2007-09-28,Emergency Temporary Standard (ETS) Under the MSHA Act,5,NA,NA,Emergency Temporary Standard (ETS) Under the MSHA Act,past,NA,2
DOL_MSHA,"PELOSI, Nancy",2007-09-28,Emergency Temporary Standard (ETS) Under the MSHA Act,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-10-05,MSHA Employee Claims He Was Humiliated & Removed from His Job/Unsatisfied w/RepI,1,NA,NA,NA,NA,NA,2
DOL_MSHA,"TIBERI, Patrick (Pat)",2007-10-05,MSHA Employee Claims He Was Humiliated & Removed from His Job/Unsatisfied w/RepI,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"CASEY, Robert (Bob), Jr.",2007-10-10,Request MSHA to Inspect Every Mine at Least Four (4) Times Per Year,5,4,NA,NA,NA,NA,2
DOL_MSHA,"CASEY, Robert (Bob), Jr.",2007-10-10,Request MSHA to Inspect Every Mine at Least Four (4) Times Per Year,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"McCONNELL, Addison Mitchell (Mitch)",2007-10-10,Black Lung Benefits/Follow-Up- Kentucky,1,NA,NA,Black Lung Benefits,NA,NA,2
DOL_MSHA,"McCONNELL, Addison Mitchell (Mitch)",2007-10-10,He Has a Mine Safety Product/Request a Meeting With MSHA Officials-Kentucky,1,2,NA,NA,NA,NA,3
DOL_MSHA,"McCONNELL, Addison Mitchell (Mitch)",2007-10-10,He Has a Mine Safety Product/Request a Meeting With MSHA Officials-Kentucky,1,2,NA,NA,NA,"may refer to cases 89-96, unclear if individual or company",3
DOL_MSHA,"McCONNELL, Addison Mitchell (Mitch)",2007-10-10,Black Lung Benefits/Follow-Up- Kentucky,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"McCONNELL, Addison Mitchell (Mitch)",2007-10-10,He Has a Mine Safety Product/Request a Meeting With MSHA Officials-Kentucky,NA,NA,NA,NA,NA,NA,3
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-10-11,Status of Mine Inspections & Conflicting Testimony Before Cong. Committees,5,NA,hearing,NA,NA,NA,2
DOL_MSHA,"KENNEDY, Edward Moore (Ted)",2007-10-11,Status of Mine Inspections & Conflicting Testimony Before Cong. Committees,NA,NA,NA,NA,NA,NA,2
DOL_MSHA,"MURRAY, Patty",2007-10-11,Status of Mine Inspections & Conflicting Testimony Before Cong. Committees,5,NA,hearing,NA,NA,NA,2
