X1,ID,DATE,filed_date,docket,SUBJECT,file_name,url,link_text,FROM,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR
6013,19910624-0148(partial),1991-06-13,1991-06-18,CP90-316-000CP90-317-000CP91-724-000,"Sen A D'Amato submits Hofert Jewelers 910607 constituent comments re TN,Empire & National Fuel Gas P/L Projs under CP90-316 et al.Availability: Public",19910624-0148(partial)-10842198.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842198; NA,Image; MicroFilm,,,,,,,,,
6189,19910701-0084,1991-06-13,1991-06-26,P-10743-000,Rep JD Dingell responds to FERC 910517 ltr re Riley Dam Proj under P-10743.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6014,19910624-0153(partial),1991-06-12,1991-06-18,CP90-316-000CP90-317-000CP91-724-000,"Sen A D'Amato submits S DE Neufville 910515 constituent comments re TN,Empire & National Fuel Gas P/L Projs under CP90-316 et al.Availability: Public",19910624-0153(partial)-10842199.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842199; NA,Image; MicroFilm,,,,,,,,,
6015,19910624-0183,1991-06-11,1991-06-14,CP91-967-000,Comments of Sen L Pressler supporting Northern Border expansion/extension proj under CP91-967.Availability: Public,19910624-0183-10842291.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842291; NA,Image; MicroFilm,,,,,,,,,
6199,19910621-0282,1991-06-11,1991-06-14,NONE-000,"Rep P Roberts submits addl response from G Hibbert of Hudson,KS re interpretation of PURPA.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6200,19910624-0211,1991-06-10,1991-06-14,CP88-393-000CP88-396-000CP89-471-000,Comments of Sen H Heflin re draft order on Gateway P/L under CP89-471 et al.Availability: Public,19910624-0211-10842296.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842296; NA,Image; MicroFilm,,,,,,,,,
6212,19910624-0255,1991-06-10,1991-06-14,P-9885-000,Sen S Symms submits 910509 ltr requesting FERC assistance to reopen public hearings re Environ Energy Co's Fall River Hydro Proj-9885.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6201,19910624-0207,1991-06-05,1991-06-11,P-8682-000,Rep N Sisisky submits correspondence from EB Ward re Swift Creek Dam repairs & refilling of lake under P-8682.Availability: Public,19910624-0207-10842209.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842209; NA,Image; MicroFilm,,,,,,,,,
6203,19910624-0159,1991-06-04,1991-06-10,CP90-316-000CP90-317-000,Comments of Sen AM D'Amato urging FERC to support Staff recommedations re environ assessment of proposed Empire State P/L under CP90-316 et al.Availability: Public,19910624-0159-10842290.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842290; NA,Image; MicroFilm,,,,,,,,,
6204,19910624-0218,1991-06-04,1991-06-07,CP91-687-000,Comments of Rep JD Dingell re ANR P/L appl under CP91-687.Availability: Public,19910624-0218-10841889.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10841889; NA,Image; MicroFilm,,,,,,,,,
6009,19910624-0198,1991-06-03,1991-06-24,CP90-317-000CP90-316-000,"Sen DP Moynihan fwds constituent S Baer comments re Empire Pipeline,CP90-316 et al.Availability: Public",19910624-0198-10842294.tif,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842294,Image,,,,,,,,,
6202,19910624-0212,1991-05-31,1991-06-11,CP87-339-000,Rep BA Gilman requests rept of findings from Columbia Gas P/L Proj under CP87-339.Availability: Public,19910624-0212-10842210.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842210; NA,Image; MicroFilm,,,,,,,,,
6011,19910621-0152(partial),1991-05-30,1991-06-21,NONE-000,Rep JM Gaydos submits FM Calizzi proposal of Borough of Tarentum to develop municipal-owned power sys.Availability: Public,19910621-0152(partial)-10842043.tif,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842043,Image,,,,,,,,,
6205,19910624-0157(partial),1991-05-29,1991-06-06,CP90-316-000CP90-317-000CP91-724-000,"Sen A D'Amato submits Coastal Corp 910517 consitiuent comments re TN,Empire & National Fuel Gas P/L Projs under CP90-316 et al.Availability: Public",19910624-0157(partial)-10842200.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842200; NA,Image; MicroFilm,,,,,,,,,
6214,19910627-0351,1991-05-29,1991-06-06,CP90-316-000CP90-317-000,Senator AM D'Amato submits comment ltr from Coastal Corp re Empire State P/L under CP90-316 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6198,19910620-0042(partial),1991-05-28,1991-06-14,P-9885-000,"Comments of US Sen S Symms re hydro-power plant on Fall River,Grant Durschi Proj under P-9885.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6213,19910626-0308,1991-05-28,1991-06-12,P-4458-000,Comments of Sen MO Hatfield et al re addl spillway capacity to Clear Branch Dam Proj under P-4458.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6215,19910621-0269(partial),1991-05-28,1991-06-04,ER90-525-000ER90-526-000,Comments of US Rep J Reed re ltr from PA Dittman who indicated concern over increasing price of electricity under ER90-525 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6010,19910624-0219,1991-05-27,1991-06-24,NONE-000,Comments of Sen P Gramm constituent re import & export of natural gas to/from Canada.Availability: Public,19910624-0219-10841890.tif,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10841890,Image,,,,,,,,,
6195,19910621-0243(partial),1991-05-22,1991-06-20,RP91-29-000,Comments of US Sen H Heflin re devastating hardship which certain Northern AL constituents will face as result of allocation of take-or-pay cost under RP91-29 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6217,19910621-0224(partial),1991-05-22,1991-06-03,P-8263-004,Comments of US Sen CJ Dodd re Falls Mill Dams Proj that has been proposed by Summit Hydropower & effect it would have on Yantic Falls & surrounding community under P-8263.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6218,19910621-0261(partial),1991-05-22,1991-06-03,CP89-637-000CP90-1726-000,Comments of US Sen A Specter re CNG Transmsn proposed facils re route to utilize existing ONG right-of-way in PA for ANR/TX Gas/CNG/Transco Proj under CP90-1726 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6221,19910621-0229(partial),1991-05-22,1991-05-30,CP91-967-000,Comments of US Sen C Burns supporting Northern Border P/L expansion project under CP91-967.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6222,19910620-0036(partial),1991-05-21,1991-05-29,CP90-316-000CP90-317-000,Comments of US Sen DP Moynihan opposing route of facils proposed by Empire State P/L under CP90-316 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6216,19910624-0252,1991-05-20,1991-06-04,P-10199-000,Oversight request of Rep JD Dingell of House Energy Committee re Salt Caves Proj-10199.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
